time,latitude(degrees),longitudes(degrees),altitude(meters),n_sats,flags
19691231_191608,0.0000000000,0.0000000000,0.0000000000, 0, 0
19691231_191608,37.4306861357,-122.1725467986,72.1614239155, 9, 0
19691231_191608,37.4306861357,-122.1725467986,72.1614239155, 9, 0
19691231_191608,37.4306861357,-122.1725467986,72.1614239155, 9, 0
19691231_191608,37.4306861357,-122.1725467986,72.1614239155, 9, 0
19691231_191608,37.4307073533,-122.1725332761,70.2787899613, 9, 1
19691231_191608,37.4307073533,-122.1725332761,70.2787899613, 9, 1
19691231_191608,37.4307073533,-122.1725332761,70.2787899613, 9, 1
19691231_191608,37.4306863914,-122.1725097033,71.3174303046, 9, 0
19691231_191608,37.4306863914,-122.1725097033,71.3174303046, 9, 0
19691231_191608,37.4306863914,-122.1725097033,71.3174303046, 9, 0
19691231_191608,37.4306863914,-122.1725097033,71.3174303046, 9, 0
19691231_191608,37.4307091964,-122.1725371597,70.2794525090, 9, 1
19691231_191608,37.4307091964,-122.1725371597,70.2794525090, 9, 1
19691231_191608,37.4307091964,-122.1725371597,70.2794525090, 9, 1
19691231_191608,37.4306928716,-122.1725181468,71.8794779619, 9, 0
19691231_191608,37.4306928716,-122.1725181468,71.8794779619, 9, 0
19691231_191608,37.4306928716,-122.1725181468,71.8794779619, 9, 0
19691231_191608,37.4306928716,-122.1725181468,71.8794779619, 9, 0
19691231_191608,37.4307110270,-122.1725410526,70.2801105960, 9, 1
19691231_191608,37.4307110270,-122.1725410526,70.2801105960, 9, 1
19691231_191608,37.4307110270,-122.1725410526,70.2801105960, 9, 1
19691231_191608,37.4306993482,-122.1725264854,69.6195278342, 9, 0
19691231_191608,37.4306993482,-122.1725264854,69.6195278342, 9, 0
19691231_191608,37.4306993482,-122.1725264854,69.6195278342, 9, 0
19691231_191608,37.4306993482,-122.1725264854,69.6195278342, 9, 0
19691231_191608,37.4307128452,-122.1725449546,70.2807642149, 9, 1
19691231_191608,37.4307128452,-122.1725449546,70.2807642149, 9, 1
19691231_191608,37.4307128452,-122.1725449546,70.2807642149, 9, 1
19691231_191608,37.4307067439,-122.1725443430,71.1620463465, 9, 0
19691231_191608,37.4307067439,-122.1725443430,71.1620463465, 9, 0
19691231_191608,37.4307067439,-122.1725443430,71.1620463465, 9, 0
19691231_191608,37.4307067439,-122.1725443430,71.1620463465, 9, 0
19691231_191608,37.4307146509,-122.1725488657,70.2814133525, 9, 1
19691231_191608,37.4307146509,-122.1725488657,70.2814133525, 9, 1
19691231_191608,37.4307146509,-122.1725488657,70.2814133525, 9, 1
19691231_191608,37.4307200234,-122.1725381977,69.2980218761, 9, 0
19691231_191608,37.4307200234,-122.1725381977,69.2980218761, 9, 0
19691231_191608,37.4307200234,-122.1725381977,69.2980218761, 9, 0
19691231_191608,37.4307200234,-122.1725381977,69.2980218761, 9, 0
19691231_191608,37.4307164441,-122.1725527859,70.2820579997, 9, 1
19691231_191608,37.4307164441,-122.1725527859,70.2820579997, 9, 1
19691231_191609,37.4307164441,-122.1725527859,70.2820579997, 9, 1
19691231_191609,37.4307348529,-122.1725523279,70.0685731888, 9, 0
19691231_191609,37.4307348529,-122.1725523279,70.0685731888, 9, 0
19691231_191609,37.4307348529,-122.1725523279,70.0685731888, 9, 0
19691231_191609,37.4307348529,-122.1725523279,70.0685731888, 9, 0
19691231_191609,37.4307182249,-122.1725567150,70.2826981486, 9, 1
19691231_191609,37.4307182249,-122.1725567150,70.2826981486, 9, 1
19691231_191609,37.4307182249,-122.1725567150,70.2826981486, 9, 1
19691231_191609,37.4307403966,-122.1725610426,69.1527225363, 9, 0
19691231_191609,37.4307403966,-122.1725610426,69.1527225363, 9, 0
19691231_191609,37.4307403966,-122.1725610426,69.1527225363, 9, 0
19691231_191609,37.4307403966,-122.1725610426,69.1527225363, 9, 0
19691231_191609,37.4307199930,-122.1725606530,70.2833337850, 9, 1
19691231_191609,37.4307199930,-122.1725606530,70.2833337850, 9, 1
19691231_191609,37.4307199930,-122.1725606530,70.2833337850, 9, 1
19691231_191609,37.4307363282,-122.1725631193,71.8225140761, 9, 0
19691231_191609,37.4307363282,-122.1725631193,71.8225140761, 9, 0
19691231_191609,37.4307363282,-122.1725631193,71.8225140761, 9, 0
19691231_191609,37.4307363282,-122.1725631193,71.8225140761, 9, 0
19691231_191609,37.4307363282,-122.1725631193,71.8225140761, 9, 0
19691231_191609,37.4307217486,-122.1725645998,70.2839649023, 9, 1
19691231_191609,37.4307217486,-122.1725645998,70.2839649023, 9, 1
19691231_191609,37.4307217486,-122.1725645998,70.2839649023, 9, 1
19691231_191609,37.4307217486,-122.1725645998,70.2839649023, 9, 1
19691231_191609,37.4307095667,-122.1725586015,70.5654112869, 9, 0
19691231_191609,37.4307095667,-122.1725586015,70.5654112869, 9, 0
19691231_191609,37.4307095667,-122.1725586015,70.5654112869, 9, 0
19691231_191609,37.4307095667,-122.1725586015,70.5654112869, 9, 0
19691231_191609,37.4307234916,-122.1725685554,70.2845914871, 9, 1
19691231_191609,37.4307234916,-122.1725685554,70.2845914871, 9, 1
19691231_191609,37.4307234916,-122.1725685554,70.2845914871, 9, 1
19691231_191609,37.4307234916,-122.1725685554,70.2845914871, 9, 1
19691231_191609,37.4307200951,-122.1725714375,71.1085610666, 9, 0
19691231_191609,37.4307200951,-122.1725714375,71.1085610666, 9, 0
19691231_191609,37.4307200951,-122.1725714375,71.1085610666, 9, 0
19691231_191609,37.4307200951,-122.1725714375,71.1085610666, 9, 0
19691231_191609,37.4307252220,-122.1725725197,70.2852135321, 9, 1
19691231_191609,37.4307252220,-122.1725725197,70.2852135321, 9, 1
19691231_191609,37.4307252220,-122.1725725197,70.2852135321, 9, 1
19691231_191609,37.4307145879,-122.1725806148,69.3960802038, 9, 0
19691231_191609,37.4307145879,-122.1725806148,69.3960802038, 9, 0
19691231_191609,37.4307145879,-122.1725806148,69.3960802038, 9, 0
19691231_191609,37.4307145879,-122.1725806148,69.3960802038, 9, 0
19691231_191609,37.4307269397,-122.1725764927,70.2858310261, 9, 1
19691231_191609,37.4307269397,-122.1725764927,70.2858310261, 9, 1
19691231_191609,37.4307269397,-122.1725764927,70.2858310261, 9, 1
19691231_191609,37.4307246820,-122.1725632132,68.8692102846, 9, 0
19691231_191609,37.4307246820,-122.1725632132,68.8692102846, 9, 0
19691231_191609,37.4307246820,-122.1725632132,68.8692102846, 9, 0
19691231_191609,37.4307246820,-122.1725632132,68.8692102846, 9, 0
19691231_191609,37.4307286447,-122.1725804743,70.2864439611, 9, 1
19691231_191609,37.4307286447,-122.1725804743,70.2864439611, 9, 1
19691231_191609,37.4307286447,-122.1725804743,70.2864439611, 9, 1
19691231_191609,37.4307167289,-122.1725875291,73.0684866195, 9, 0
19691231_191609,37.4307167289,-122.1725875291,73.0684866195, 9, 0
