time,distance(meters),num_sats,flags
19691231_190446,0.00, 0, 0
19691231_190446,0.00, 0, 0
19691231_190446,0.00, 0, 0
19691231_190446,0.00, 0, 0
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190446,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190447,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190448,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190449,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190450,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190451,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190452,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190453,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190454,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190455,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190456,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190457,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
19691231_190458,100.00, 9, 1
