time,latitude(degrees),longitudes(degrees),altitude(meters),n_sats,flags
19691231_190446,0.0000000000,0.0000000000,0.0000000000, 0, 0
19691231_190446,37.4291067792,-122.1726589685,69.6063549933, 9, 0
19691231_190446,37.4291067792,-122.1726589685,69.6063549933, 9, 0
19691231_190446,37.4291067792,-122.1726589685,69.6063549933, 9, 0
19691231_190446,37.4291067792,-122.1726589685,69.6063549933, 9, 0
19691231_190446,37.4291186520,-122.1726322027,69.7076760545, 9, 1
19691231_190446,37.4291186520,-122.1726322027,69.7076760545, 9, 1
19691231_190446,37.4291186520,-122.1726322027,69.7076760545, 9, 1
19691231_190446,37.4291155065,-122.1726165231,66.9788321715, 9, 0
19691231_190446,37.4291155065,-122.1726165231,66.9788321715, 9, 0
19691231_190446,37.4291155065,-122.1726165231,66.9788321715, 9, 0
19691231_190446,37.4291155065,-122.1726165231,66.9788321715, 9, 0
19691231_190446,37.4291155065,-122.1726165231,66.9788321715, 9, 0
19691231_190446,37.4291217454,-122.1726240390,69.7087880689, 9, 1
19691231_190446,37.4291217454,-122.1726240390,69.7087880689, 9, 1
19691231_190446,37.4291217454,-122.1726240390,69.7087880689, 9, 1
19691231_190446,37.4291217454,-122.1726240390,69.7087880689, 9, 1
19691231_190446,37.4291217454,-122.1726240390,69.7087880689, 9, 1
19691231_190446,37.4291226658,-122.1726247379,70.6572767430, 9, 0
19691231_190446,37.4291226658,-122.1726247379,70.6572767430, 9, 0
19691231_190446,37.4291226658,-122.1726247379,70.6572767430, 9, 0
19691231_190446,37.4291226658,-122.1726247379,70.6572767430, 9, 0
19691231_190446,37.4291248907,-122.1726159065,69.7099187725, 9, 1
19691231_190446,37.4291248907,-122.1726159065,69.7099187725, 9, 1
19691231_190446,37.4291248907,-122.1726159065,69.7099187725, 9, 1
19691231_190446,37.4291106054,-122.1726201826,68.4156304703, 9, 0
19691231_190446,37.4291106054,-122.1726201826,68.4156304703, 9, 0
19691231_190446,37.4291106054,-122.1726201826,68.4156304703, 9, 0
19691231_190446,37.4291106054,-122.1726201826,68.4156304703, 9, 0
19691231_190446,37.4291280879,-122.1726078059,69.7110680860, 9, 1
19691231_190446,37.4291280879,-122.1726078059,69.7110680860, 9, 1
19691231_190446,37.4291280879,-122.1726078059,69.7110680860, 9, 1
19691231_190446,37.4291436358,-122.1726046312,70.0592833088, 9, 0
19691231_190446,37.4291436358,-122.1726046312,70.0592833088, 9, 0
19691231_190446,37.4291436358,-122.1726046312,70.0592833088, 9, 0
19691231_190446,37.4291436358,-122.1726046312,70.0592833088, 9, 0
19691231_190446,37.4291313366,-122.1725997377,69.7122359437, 9, 1
19691231_190446,37.4291313366,-122.1725997377,69.7122359437, 9, 1
19691231_190447,37.4291313366,-122.1725997377,69.7122359437, 9, 1
19691231_190447,37.4291470984,-122.1725966390,72.4257104546, 9, 0
19691231_190447,37.4291470984,-122.1725966390,72.4257104546, 9, 0
19691231_190447,37.4291470984,-122.1725966390,72.4257104546, 9, 0
19691231_190447,37.4291470984,-122.1725966390,72.4257104546, 9, 0
