time,speed(m/s),num_sats
19691231_190446,     0, 0
19691231_190446,     0, 0
19691231_190446,     0, 0
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190446,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190447,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
19691231_190448,     0, 9
