Time,latitude,longitude,depth,fixed_state
20130409_205752,0.000365,0.000365,5.000,0
20130409_205752,-2.144958,-79.966170,5.000,0
20130411_004432,-2.144958,-79.966170,5.000,0
20130411_004432,-2.144943,-79.966165,5.000,0
20130412_043112,-2.144943,-79.966165,5.000,0
20130412_043112,-2.144945,-79.966157,5.000,0
20130413_081752,-2.144945,-79.966157,5.000,0
20130413_081752,-2.144951,-79.966156,5.000,0
20130414_120432,-2.144951,-79.966156,5.000,0
20130414_120432,-2.144947,-79.966162,5.000,0
20130415_155112,-2.144947,-79.966162,5.000,0
20130415_155112,-2.144933,-79.966172,5.000,0
20130416_193752,-2.144933,-79.966172,5.000,0
20130416_193752,-2.144934,-79.966178,5.000,0
20130417_232432,-2.144934,-79.966178,5.000,0
20130417_232432,-2.144935,-79.966171,5.000,0
20130419_031112,-2.144935,-79.966171,5.000,0
20130419_031112,-2.144940,-79.966166,5.000,0
20130420_065752,-2.144940,-79.966166,5.000,0
20130420_065752,-2.144948,-79.966172,5.000,0
20130421_104432,-2.144948,-79.966172,5.000,0
20130421_104432,-2.144936,-79.966173,5.000,0
20130422_143112,-2.144936,-79.966173,5.000,0
20130422_143112,-2.144929,-79.966173,5.000,0
20130423_181752,-2.144929,-79.966173,5.000,0
20130423_181752,-2.144926,-79.966189,5.000,0
20130424_220432,-2.144926,-79.966189,5.000,0
20130424_220432,-2.144943,-79.966181,5.000,0
20150107_143112,-2.144943,-79.966181,5.000,0
20150107_143112,-2.144970,-79.966190,5.000,0
20150108_181752,-2.144970,-79.966190,5.000,0
20150108_181752,-2.144976,-79.966196,5.000,0
20150109_220432,-2.144976,-79.966196,5.000,0
20150109_220432,-2.144978,-79.966199,5.000,0
20150111_015112,-2.144978,-79.966199,5.000,0
20150111_015112,-2.144983,-79.966204,5.000,0
20150112_053752,-2.144983,-79.966204,5.000,0
20150112_053752,-2.144980,-79.966203,5.000,0
20150113_092432,-2.144980,-79.966203,5.000,0
20150113_092432,-2.144975,-79.966206,5.000,0
20150114_131112,-2.144975,-79.966206,5.000,0
20150114_131112,-2.144940,-79.966191,5.000,0
20150115_165752,-2.144940,-79.966191,5.000,0
20150115_165752,-2.144938,-79.966203,5.000,0
20150116_204432,-2.144938,-79.966203,5.000,0
20150116_204432,-2.144945,-79.966216,5.000,0
20150118_003112,-2.144945,-79.966216,5.000,0
20150118_003112,-2.144960,-79.966201,5.000,0
20150119_041752,-2.144960,-79.966201,5.000,0
20150119_041752,-2.144931,-79.966189,5.000,0
20150120_080432,-2.144931,-79.966189,5.000,0
20150120_080432,-2.144921,-79.966178,5.000,0
20150121_115112,-2.144921,-79.966178,5.000,0
20150121_115112,-2.144922,-79.966178,5.000,0
20150122_153752,-2.144922,-79.966178,5.000,0
20150122_153752,-2.144937,-79.966181,5.000,0
20150123_192432,-2.144937,-79.966181,5.000,0
20150123_192432,-2.144957,-79.966183,5.000,0
20151224_071112,-2.144957,-79.966183,5.000,0
20151224_071112,-2.145115,-79.966139,5.000,0
20151225_105752,-2.145115,-79.966139,5.000,0
