Time,BUOY_latitude,BUOY_longitude,ROV_latitude,ROV_longitude,depth,fixed_state
20180920_155827,0.00000000,0.00000000,0.00037215,0.00037215,5.000,0
20180920_155828,37.43004658,-122.17197350,37.43041872,-122.17150486,5.000,0
20180920_155829,37.43003111,-122.17198975,37.43040326,-122.17152111,5.000,1
20180920_155830,37.43003111,-122.17198975,37.43040326,-122.17152111,5.000,1
20180920_155831,37.43001891,-122.17199824,37.43039105,-122.17152959,5.000,0
20180920_155832,37.43003470,-122.17199025,37.43040684,-122.17152160,5.000,1
20180920_155833,37.43003470,-122.17199025,37.43040684,-122.17152160,5.000,1
20180920_155834,37.43002683,-122.17199096,37.43039898,-122.17152231,5.000,0
20180920_155835,37.43003828,-122.17199076,37.43041042,-122.17152212,5.000,1
20180920_155836,37.43003828,-122.17199076,37.43041042,-122.17152212,5.000,1
20180920_155837,37.43000902,-122.17196683,37.43038117,-122.17149818,5.000,0
20180920_155838,37.43004186,-122.17199129,37.43041400,-122.17152265,5.000,1
20180920_155839,37.43004186,-122.17199129,37.43041400,-122.17152265,5.000,1
20180920_155840,37.43004003,-122.17198617,37.43041217,-122.17151753,5.000,0
20180920_155841,37.43004543,-122.17199184,37.43041758,-122.17152320,5.000,1
20180920_155842,37.43004543,-122.17199184,37.43041758,-122.17152320,5.000,1
20180920_155843,37.43005000,-122.17195145,37.43042214,-122.17148281,5.000,0
