Time,latitude,longitude,depth,fixed_state
20221031_183112,0.000365,0.000365,5.000,0
20221031_183112,-2.145033,-79.966174,5.000,0
20221101_221752,-2.145033,-79.966174,5.000,0
20221101_221752,-2.145040,-79.966183,5.000,0
20221103_020432,-2.145040,-79.966183,5.000,0
20221103_020432,-2.145043,-79.966185,5.000,0
20221104_055112,-2.145043,-79.966185,5.000,0
20221104_055112,-2.145053,-79.966177,5.000,0
20221105_093752,-2.145053,-79.966177,5.000,0
20221105_093752,-2.145051,-79.966163,5.000,0
20221106_132432,-2.145051,-79.966163,5.000,0
20221106_132432,-2.145048,-79.966166,5.000,0
20221107_171112,-2.145048,-79.966166,5.000,0
20221107_171112,-2.145035,-79.966170,5.000,0
20221108_205752,-2.145035,-79.966170,5.000,0
20221108_205752,-2.145034,-79.966182,5.000,0
20221110_004432,-2.145034,-79.966182,5.000,0
20221110_004432,-2.145035,-79.966183,5.000,0
20221111_043112,-2.145035,-79.966183,5.000,0
20221111_043112,-2.145032,-79.966189,5.000,0
20221112_081752,-2.145032,-79.966189,5.000,0
20221112_081752,-2.145034,-79.966179,5.000,0
20221113_120432,-2.145034,-79.966179,5.000,0
20221113_120432,-2.145043,-79.966180,5.000,0
20221114_155112,-2.145043,-79.966180,5.000,0
20221114_155112,-2.145045,-79.966164,5.000,0
20221115_193752,-2.145045,-79.966164,5.000,0
20221115_193752,-2.145048,-79.966150,5.000,0
20221116_232432,-2.145048,-79.966150,5.000,0
20221116_232432,-2.145044,-79.966144,5.000,0
20240629_060432,-2.145044,-79.966144,5.000,0
20240629_060432,-2.144997,-79.966088,5.000,0
20240630_095112,-2.144997,-79.966088,5.000,0
20240630_095112,-2.145015,-79.966107,5.000,0
20240701_133752,-2.145015,-79.966107,5.000,0
20240701_133752,-2.145006,-79.966120,5.000,0
20240702_172432,-2.145006,-79.966120,5.000,0
20240702_172432,-2.145018,-79.966133,5.000,0
20240703_211112,-2.145018,-79.966133,5.000,0
20240703_211112,-2.145007,-79.966116,5.000,0
20240705_005752,-2.145007,-79.966116,5.000,0
20240705_005752,-2.145009,-79.966124,5.000,0
20240706_044432,-2.145009,-79.966124,5.000,0
20240706_044432,-2.145013,-79.966118,5.000,0
20240707_083112,-2.145013,-79.966118,5.000,0
20240707_083112,-2.145043,-79.966127,5.000,0
20240708_121752,-2.145043,-79.966127,5.000,0
20240708_121752,-2.145018,-79.966100,5.000,0
20240709_160432,-2.145018,-79.966100,5.000,0
20240709_160432,-2.145005,-79.966118,5.000,0
20240710_195112,-2.145005,-79.966118,5.000,0
20240710_195112,-2.145004,-79.966092,5.000,0
20240711_233752,-2.145004,-79.966092,5.000,0
20240711_233752,-2.144994,-79.966085,5.000,0
20240713_032432,-2.144994,-79.966085,5.000,0
20240713_032432,-2.144993,-79.966098,5.000,0
20240714_071112,-2.144993,-79.966098,5.000,0
