Time,BUOY_latitude,BUOY_longitude,ROV_latitude,ROV_longitude,depth,fixed_state
20180920_163835,0.00000000,0.00000000,0.00037215,0.00037215,5.000,0
20180920_163836,37.43068303,-122.17374433,37.43105518,-122.17327568,5.000,0
20180920_163837,37.43068308,-122.17374084,37.43105523,-122.17327219,5.000,1
20180920_163838,37.43068308,-122.17374084,37.43105523,-122.17327219,5.000,1
20180920_163839,37.43067146,-122.17374567,37.43104361,-122.17327702,5.000,0
20180920_163840,37.43068107,-122.17374459,37.43105322,-122.17327594,5.000,1
20180920_163841,37.43068107,-122.17374459,37.43105322,-122.17327594,5.000,1
20180920_163842,37.43066553,-122.17374581,37.43103767,-122.17327716,5.000,0
20180920_163843,37.43067905,-122.17374833,37.43105120,-122.17327968,5.000,1
20180920_163844,37.43067905,-122.17374833,37.43105120,-122.17327968,5.000,1
20180920_163845,37.43065841,-122.17376875,37.43103056,-122.17330011,5.000,0
20180920_163846,37.43067702,-122.17375206,37.43104917,-122.17328342,5.000,1
20180920_163847,37.43067702,-122.17375206,37.43104917,-122.17328342,5.000,1
20180920_163848,37.43069632,-122.17376520,37.43106847,-122.17329655,5.000,0
20180920_163849,37.43067498,-122.17375579,37.43104712,-122.17328714,5.000,1
20180920_163850,37.43067498,-122.17375579,37.43104712,-122.17328714,5.000,1
20180920_163851,37.43069641,-122.17374773,37.43106856,-122.17327908,5.000,0
20180920_163852,37.43067292,-122.17375950,37.43104507,-122.17329085,5.000,1
20180920_163853,37.43067292,-122.17375950,37.43104507,-122.17329085,5.000,1
20180920_163854,37.43068719,-122.17373659,37.43105934,-122.17326794,5.000,0
20180920_163855,37.43067085,-122.17376320,37.43104300,-122.17329455,5.000,1
20180920_163856,37.43067085,-122.17376320,37.43104300,-122.17329455,5.000,1
20180920_163857,37.43066411,-122.17375751,37.43103626,-122.17328886,5.000,0
20180920_163858,37.43066877,-122.17376689,37.43104092,-122.17329824,5.000,1
20180920_163859,37.42996232,-122.17423866,37.43033446,-122.17377002,5.000,0
20180920_163900,37.42994987,-122.17424265,37.43032201,-122.17377401,5.000,1
20180920_163901,37.42994987,-122.17424265,37.43032201,-122.17377401,5.000,1
20180920_163902,37.42994555,-122.17423751,37.43031770,-122.17376887,5.000,0
20180920_163903,37.42994626,-122.17424272,37.43031841,-122.17377408,5.000,1
20180920_163904,37.42994626,-122.17424272,37.43031841,-122.17377408,5.000,1
20180920_163905,37.42994587,-122.17425274,37.43031802,-122.17378410,5.000,0
20180920_163906,37.42994266,-122.17424278,37.43031481,-122.17377413,5.000,1
20180920_163907,37.42994266,-122.17424278,37.43031481,-122.17377413,5.000,1
20180920_163908,37.42992850,-122.17425702,37.43030064,-122.17378838,5.000,0
20180920_163909,37.42993906,-122.17424281,37.43031120,-122.17377417,5.000,1
20180920_163910,37.42993906,-122.17424281,37.43031120,-122.17377417,5.000,1
20180920_163911,37.42991907,-122.17424335,37.43029122,-122.17377470,5.000,0
20180920_163912,37.42993545,-122.17424283,37.43030760,-122.17377418,5.000,1
20180920_163913,37.42993545,-122.17424283,37.43030760,-122.17377418,5.000,1
20180920_163914,37.42993337,-122.17424291,37.43030551,-122.17377426,5.000,0
20180920_163915,37.42993185,-122.17424283,37.43030400,-122.17377418,5.000,1
20180920_163916,37.42993185,-122.17424283,37.43030400,-122.17377418,5.000,1
20180920_163917,37.42993075,-122.17423383,37.43030289,-122.17376519,5.000,0
20180920_163918,37.42992825,-122.17424281,37.43030039,-122.17377416,5.000,1
20180920_163919,37.42992825,-122.17424281,37.43030039,-122.17377416,5.000,1
20180920_163920,37.42992255,-122.17427786,37.43029469,-122.17380922,5.000,0
20180920_163921,37.42992464,-122.17424277,37.43029679,-122.17377412,5.000,1
20180920_163922,37.42992464,-122.17424277,37.43029679,-122.17377412,5.000,1
20180920_163923,37.42993352,-122.17428736,37.43030567,-122.17381871,5.000,0
20180920_163924,37.42992104,-122.17424271,37.43029318,-122.17377407,5.000,1
20180920_163925,37.42916288,-122.17371459,37.42953503,-122.17324595,5.000,0
20180920_163926,37.42916326,-122.17369816,37.42953540,-122.17322952,5.000,1
20180920_163927,37.42916326,-122.17369816,37.42953540,-122.17322952,5.000,1
20180920_163928,37.42916863,-122.17367304,37.42954078,-122.17320440,5.000,0
